staff_id,hotel_id,name,role,hire_date
1,1,Gregory Ortiz,housekeeping,2020-12-02
2,1,Michele Douglas,housekeeping,2020-10-29
3,1,Cameron Wyatt,receptionist,2017-04-23
4,1,Stacey Rodriguez MD,receptionist,2018-02-01
5,1,Daniel Smith,housekeeping,2018-02-18
6,1,Zachary Thomas,receptionist,2022-12-01
7,1,Lorraine Thomas,housekeeping,2017-11-30
8,1,Nicole Thompson,receptionist,2021-09-18
9,1,Sean Odonnell,housekeeping,2021-06-07
10,1,Zachary Marquez,concierge,2024-10-11
11,1,Nicole Arroyo,receptionist,2023-09-12
12,2,Jeff Hunter,concierge,2019-10-04
13,2,Anthony Jones,housekeeping,2021-09-10
14,2,Mr. Dillon Griffin,housekeeping,2022-08-28
15,2,Allison Sanchez,housekeeping,2018-04-26
16,2,Crystal Mills,receptionist,2021-02-23
17,2,Victoria Christensen,concierge,2017-01-01
18,2,Joseph Hughes,housekeeping,2019-11-30
19,2,Natasha Keith,receptionist,2019-10-19
20,2,Jeffrey Pierce,manager,2025-04-18
21,2,Jennifer Aguirre,receptionist,2024-04-07
22,2,Matthew Stanley,housekeeping,2017-11-20
23,2,Jonathan Roman,concierge,2018-02-14
24,2,Carla Johnson,housekeeping,2022-05-25
25,2,Ernest Hill,receptionist,2023-04-04
26,3,James Gray,manager,2020-04-07
27,3,Whitney Jackson,manager,2021-06-03
28,3,Patricia Pena,housekeeping,2025-01-14
29,3,Sarah Hudson,housekeeping,2025-07-06
30,3,Tracy Johnson,concierge,2019-02-26
31,3,Kathleen Andrews,receptionist,2025-01-31
32,3,Angel Oneal,housekeeping,2019-02-09
33,3,Karen Eaton,housekeeping,2019-06-24
34,4,Samuel Cooper,housekeeping,2022-08-12
35,4,Brittney Greer,receptionist,2021-12-06
36,4,Tyler Chaney IV,concierge,2017-05-02
37,4,Jared Johnson,housekeeping,2018-03-18
38,4,Dr. Danielle Le MD,receptionist,2022-10-24
39,4,Bryce Collins,receptionist,2019-12-21
40,4,Cynthia Williams,receptionist,2018-07-22
41,4,Richard Garner,housekeeping,2017-01-01
42,4,Stephanie Morris,receptionist,2018-10-05
43,4,Lisa Davis,receptionist,2025-01-17
44,5,Brittany Brown,housekeeping,2025-03-22
45,5,Mercedes Bryan,receptionist,2017-01-21
46,5,Bradley Wolfe,receptionist,2020-07-31
47,5,Nicholas Collier,manager,2019-03-25
48,5,James Miller,housekeeping,2016-12-01
49,5,Todd Escobar,manager,2017-02-05
50,5,Julie Clark,housekeeping,2021-02-13
51,5,Carlos Mayer,receptionist,2020-03-01
52,5,Heather Holt,housekeeping,2021-06-01
53,5,Teresa Davis,housekeeping,2023-07-21
54,5,Jake Parks,receptionist,2016-12-12
55,5,Douglas Dougherty,manager,2022-09-27
56,5,Todd Powers,housekeeping,2025-08-15
57,6,Barbara Hawkins,receptionist,2018-03-25
58,6,Bradley Murphy,receptionist,2016-12-03
59,6,Ricardo Mcbride,manager,2017-12-06
60,6,Rebecca Herman,receptionist,2025-05-04
61,6,John Cox,housekeeping,2018-08-08
62,6,Angela Haney,housekeeping,2018-06-14
63,6,Brian Snyder,housekeeping,2019-02-26
64,7,Todd Green,housekeeping,2023-06-03
65,7,Kyle Escobar,housekeeping,2025-07-26
66,7,Bobby Moreno,housekeeping,2022-01-19
67,7,Joshua Brown,housekeeping,2023-10-28
68,7,Brianna Smith,manager,2016-12-29
69,7,Martin Carlson,housekeeping,2025-02-11
70,7,Jeffrey Nguyen,receptionist,2022-12-27
71,7,Nicole Simpson,concierge,2017-10-25
72,7,Molly Whitney,concierge,2023-01-14
73,7,Deborah Jennings,receptionist,2019-10-15
74,7,Omar Black,receptionist,2017-05-08
75,7,Erik Bird,manager,2023-08-03
76,7,Dillon Martin,housekeeping,2023-07-04
77,8,Joy Gates,receptionist,2019-05-09
78,8,Curtis Smith,receptionist,2018-03-24
79,8,Richard Kerr,concierge,2025-01-01
80,8,Marcus Scott,housekeeping,2021-11-22
81,8,Jennifer Clark,manager,2017-12-21
82,8,Larry Castro,housekeeping,2017-11-06
83,8,Taylor Harris,receptionist,2024-04-27
84,8,Eric Carter,housekeeping,2024-02-20
85,8,Steven Garrett,receptionist,2019-10-20
86,8,Gary Long,receptionist,2018-06-25
87,8,David Gomez,housekeeping,2025-12-02
88,8,Douglas Cantu,receptionist,2017-02-05
89,8,Carol Archer,receptionist,2019-10-23
90,8,Mary Tyler,housekeeping,2024-05-07
91,9,Sheila Jefferson,manager,2019-03-06
92,9,Alan Velazquez,receptionist,2019-07-30
93,9,Jason Gilmore,receptionist,2021-07-03
94,9,Lisa Wright,manager,2020-07-02
95,9,Jill Mcmahon,receptionist,2023-05-05
96,9,Sarah Miller,housekeeping,2019-09-14
97,10,Breanna Gonzalez,housekeeping,2024-10-15
98,10,David Cole,receptionist,2021-06-06
99,10,Jill Mitchell,receptionist,2018-07-23
100,10,Roberto Henderson,housekeeping,2017-12-19
101,10,Brenda Spencer,manager,2018-06-11
102,10,Mr. Joshua Mack,receptionist,2024-02-12
103,10,Rebecca Green,housekeeping,2025-12-24
104,10,Nathan Ochoa,receptionist,2025-07-12
105,10,Amy Cowan,housekeeping,2017-12-03
106,10,Kimberly Patterson,housekeeping,2018-08-08
107,11,Dennis Richard,housekeeping,2022-08-26
108,11,Emily Romero,receptionist,2025-06-30
109,11,David Davis,receptionist,2016-11-27
110,11,Jacob Fritz,receptionist,2021-04-12
111,11,James Yu,receptionist,2022-11-06
112,11,Christopher Lynn,receptionist,2017-09-05
113,11,Molly Harper,housekeeping,2024-08-14
114,11,Justin Mitchell,receptionist,2018-06-02
115,12,Kelsey Bruce,receptionist,2020-11-30
116,12,Jacob Hernandez,housekeeping,2019-01-21
117,12,Theresa Coleman,receptionist,2018-09-08
118,12,Kerri Hall,concierge,2019-05-22
119,12,Rick Robinson,receptionist,2021-12-28
120,12,Monica Smith,manager,2020-03-13
121,12,Andrew Allen,manager,2023-11-05
122,12,Emily Wheeler,manager,2025-07-19
123,12,Elizabeth Wilcox,housekeeping,2018-06-17
