"guest_id","full_name","total_spend","spend_quartile"
7859,Aaron Richards,19733.27,1
1061,Lisa Stark,19707.45,1
3668,Gary Anderson,18810.06,1
6508,Aaron Irwin,18550.66,1
7992,Stephanie Martin,17937.62,1
5182,Ray Garcia,17677.02,1
408,Peter Stephenson,17512.95,1
9429,Sarah Marshall,17262.45,1
3004,Ashley Williams,17107.37,1
7832,Amanda Hawkins,16722.58,1
7446,Michele Lopez,16516.90,1
7694,Jennifer Monroe,16496.99,1
1952,James Cortez,16439.14,1
4780,Earl Lawson,16418.17,1
9839,Craig Bird,16312.35,1
8985,Samuel Gonzalez,16299.10,1
8355,Doris Alvarez MD,16202.45,1
470,Nicholas Villegas,16093.05,1
9070,Amber Rodriguez,16075.22,1
7059,Juan Ellis,15996.41,1
1330,Kristin Morgan,15892.37,1
5158,Robert Thompson,15795.37,1
555,Catherine Erickson,15782.31,1
8962,Mary Mays,15756.86,1
7947,John Larson,15672.52,1
1633,David Smith,15599.94,1
6290,Shelley Obrien,15561.52,1
3812,Katrina Carter,15138.57,1
650,Tasha Taylor,15138.11,1
6876,Denise Adams,15096.85,1
7656,Leslie Flynn,14981.82,1
2100,Matthew Pope,14958.94,1
4311,Christine Landry,14913.95,1
7196,Steven Mann,14677.64,1
3251,Douglas Wall,14483.36,1
6569,Jennifer Adams,14393.10,1
4263,Oscar Schultz,14392.10,1
1807,Megan Hardin,14386.92,1
9123,William Craig,14371.12,1
7880,Jared Myers,14294.45,1
5440,Lisa Griffin,14289.38,1
9779,Adam Villegas,14267.58,1
2151,Wyatt Arnold,14229.13,1
7984,Spencer Miller,14205.77,1
1528,Allison Clark,14200.01,1
8776,Debra Harvey,14183.52,1
5925,Elizabeth Robinson DDS,14172.86,1
8597,Richard Pena,14121.98,1
6701,Tiffany Schwartz,14089.78,1
2637,Miguel Martinez,13923.60,1
5396,Monica Robinson,13830.61,1
356,Jessica Lucas,13826.76,1
9980,Heather White,13756.29,1
6844,Sara Parks,13744.59,1
7030,Vanessa Johnson,13725.02,1
4064,Sarah Coleman,13675.65,1
1238,Rebecca Rosales,13648.42,1
5728,Shannon James,13612.03,1
9599,Carolyn Jones,13564.98,1
174,Melinda Compton,13451.15,1
5769,Priscilla Acosta,13367.81,1
5466,Brittany Williams,13341.87,1
6685,Paula Rivas,13315.02,1
3442,Hayley Alvarez,13264.12,1
3891,Katherine Washington,13233.29,1
5228,Ashlee Thompson,13225.19,1
9040,Jeffrey Ibarra,13219.82,1
3827,Antonio Valencia,13129.95,1
7395,James Martin,13127.91,1
3285,Alvin Palmer,13093.61,1
5118,Dr. Jessica Shea,13043.92,1
8588,Charlene Robinson,13038.68,1
9887,Nicole Smith,13018.53,1
392,Michael Powell,12999.96,1
4661,Virginia Walter,12933.68,1
9592,Catherine Gordon,12895.92,1
5515,Katherine Ball,12828.66,1
452,Rebecca Bailey,12824.17,1
5432,Justin Ortiz,12823.31,1
3165,Darren Miller,12816.02,1
9862,Amanda Allen,12808.75,1
2654,Richard Foley,12807.06,1
9669,Dorothy Guzman,12791.94,1
2064,John Clark,12789.98,1
9619,Erika Johnson,12730.52,1
1898,Angela Boyd,12725.44,1
4102,Kelly Perez,12672.39,1
7668,Steven Buchanan,12606.85,1
